      0.00 247808 15772331 4197949 2103629 
      0.07 247808 15772331 9441967 4724142 
      0.13 247808 15772331 5245434 4719246 
      0.20 247808 15772331 5212 4722469 
      0.27 247808 15772331 4542 2622350 
      0.33 247808 15772331 5246991 2367597 
      0.40 247808 15772331 10490842 6826330 
      0.47 247808 15772331 4404 4725958 
      0.53 247808 15772331 12587504 2103658 
      0.60 247808 15772331 8391775 2099226 
      0.67 247808 15772331 6296498 2623900 
      0.73 247808 15772331 4198367 2625893 
      0.80 247808 15772331 7344697 4730976 
      0.87 247808 15772331 8391009 4723732 
      0.93 247808 15772331 3150885 2104739 
      1.00 247808 15772331 3149071 4201505 
      1.07 247808 15772331 12585634 4724236 
      1.13 247808 15772331 11537448 4732393 
      1.20 247808 15772331 6293982 2109140 
      1.27 247808 15772331 5246864 2102026 
      1.33 247808 15772331 1052841 2622736 
      1.40 247808 15772331 3464 4720279 
      1.47 247808 15772331 10491013 2362923 
      1.53 247808 15772331 10489015 2629714 
      1.60 247808 15772331 5246589 2099813 
      1.67 247808 15772331 12587336 4725504 
      1.73 247808 15772331 5299 4728490 
      1.80 247808 15772331 13635416 2101108 
      1.87 247808 15772331 5247444 6822886 
      1.93 247808 15772331 13636929 2633727 
      2.00 247808 15772331 12589950 2100122 
      2.07 247808 15772331 5246651 2108806 
      2.13 247808 15772331 10490292 4196518 
      2.20 247808 15772331 7344368 2104030 
      2.27 247808 15772331 9439506 2629956 
      2.33 247808 15772331 12588181 2368737 
      2.40 247808 15772331 4231 2108763 
      2.47 247808 15772331 14683549 2630481 
      2.53 247808 15772331 9441006 2104914 
      2.60 247808 15772334 1433 0 
      2.67 247808 15772334 1437 0 
      2.73 247808 15772334 1441 0 
      2.80 247808 15772334 1445 0 
      2.87 247808 15772334 1449 0 
      2.93 247808 15772334 1453 0 
      3.00 247808 15772334 1457 0 
      3.07 247808 15772334 1461 0 
      3.13 247808 15772334 1465 0 
      3.20 247808 15772334 1469 0 
      3.27 247808 15772334 1473 0 
      3.33 247808 15772334 1477 0 
      3.40 247808 15772334 1481 0 
      3.47 247808 15772334 1485 0 
      3.53 247808 15772334 1489 0 
      3.60 247808 15772334 1493 0 
      3.67 247808 15772334 1497 0 
      3.73 247808 15772334 1501 0 
